Result from Job with combinations of N, P and T: 
N=128, P=1,T=1 
N=128, P=32,T=8 
N=128, P=32,T=4 
N=128, P=1,T=2 
N=128, P=32,T=16 
N=128, P=32,T=8 
N=512, P=1,T=1 
N=128, P=32,T=16 
N=128, P=1,T=4 
N=512, P=1,T=1 
N=512, P=1,T=2 
N=128, P=1,T=8 
N=512, P=1,T=2 
N=128, P=1,T=16 
N=512, P=1,T=4 
N=128, P=2,T=1 
N=512, P=1,T=8 
N=512, P=1,T=4 
N=512, P=1,T=16 
N=512, P=1,T=8 
N=128, P=2,T=2 
N=512, P=2,T=1 
N=512, P=1,T=16 
N=512, P=2,T=1 
N=128, P=2,T=4 
N=512, P=2,T=2 
N=128, P=2,T=8 
N=512, P=2,T=2 
N=512, P=2,T=4 
N=128, P=2,T=16 
N=128, P=4,T=1 
N=512, P=2,T=8 
N=512, P=2,T=4 
N=512, P=2,T=16 
N=512, P=2,T=8 
N=512, P=4,T=1 
N=128, P=4,T=2 
N=512, P=2,T=16 
N=512, P=4,T=1 
N=128, P=4,T=4 
N=512, P=4,T=2 
N=128, P=4,T=8 
N=512, P=4,T=2 
N=512, P=4,T=4 
N=128, P=4,T=16 
N=512, P=4,T=8 
N=512, P=4,T=4 
N=128, P=8,T=1 
N=512, P=4,T=16 
N=512, P=4,T=8 
N=512, P=8,T=1 
N=512, P=4,T=16 
N=128, P=8,T=2 
N=512, P=8,T=1 
N=512, P=8,T=2 
N=128, P=8,T=4 
N=512, P=8,T=2 
N=512, P=8,T=4 
N=128, P=8,T=8 
N=512, P=8,T=8 
N=128, P=8,T=16 
N=512, P=8,T=4 
N=512, P=8,T=16 
N=128, P=16,T=1 
N=512, P=8,T=8 
N=512, P=16,T=1 
N=512, P=8,T=16 
N=128, P=16,T=2 
N=512, P=16,T=1 
N=512, P=16,T=2 
N=128, P=16,T=4 
N=512, P=16,T=2 
N=512, P=16,T=4 
N=128, P=16,T=8 
N=512, P=16,T=8 
N=512, P=16,T=4 
N=128, P=16,T=16 
N=512, P=16,T=16 
N=512, P=16,T=8 
N=512, P=32,T=1 
N=128, P=32,T=1 
N=512, P=16,T=16 
N=512, P=32,T=1 
N=512, P=32,T=2 
N=128, P=32,T=2 
N=512, P=32,T=2 
N=512, P=32,T=4 
N=128, P=32,T=4 
N=512, P=32,T=8 
N=128, P=32,T=8 
N=512, P=32,T=4 
N=512, P=32,T=16 
N=128, P=32,T=16 
N=512, P=32,T=8 
N=2048, P=1,T=1 
N=512, P=1,T=1 
N=512, P=32,T=16 
N=2048, P=1,T=1 
N=2048, P=1,T=2 
N=512, P=1,T=2 
N=2048, P=1,T=2 
N=2048, P=1,T=4 
N=512, P=1,T=4 
N=2048, P=1,T=8 
N=2048, P=1,T=4 
N=512, P=1,T=8 
N=2048, P=1,T=16 
N=2048, P=1,T=8 
N=2048, P=2,T=1 
N=512, P=1,T=16 
N=2048, P=1,T=16 
N=512, P=2,T=1 
N=2048, P=2,T=1 
N=2048, P=2,T=2 
N=512, P=2,T=2 
N=2048, P=2,T=2 
N=2048, P=2,T=4 
N=512, P=2,T=4 
N=2048, P=2,T=8 
N=2048, P=2,T=4 
N=2048, P=2,T=16 
N=512, P=2,T=8 
N=2048, P=2,T=8 
N=2048, P=4,T=1 
N=512, P=2,T=16 
N=2048, P=2,T=16 
N=512, P=4,T=1 
N=2048, P=4,T=1 
N=2048, P=4,T=2 
N=512, P=4,T=2 
N=2048, P=4,T=2 
N=2048, P=4,T=4 
N=2048, P=4,T=8 
N=2048, P=4,T=4 
N=512, P=4,T=4 
N=2048, P=4,T=16 
N=2048, P=4,T=8 
N=2048, P=8,T=1 
N=512, P=4,T=8 
N=2048, P=4,T=16 
N=512, P=4,T=16 
N=2048, P=8,T=1 
N=2048, P=8,T=2 
N=512, P=8,T=1 
N=2048, P=8,T=4 
N=2048, P=8,T=2 
N=512, P=8,T=2 
N=2048, P=8,T=8 
N=2048, P=8,T=4 
N=2048, P=8,T=16 
N=512, P=8,T=4 
N=2048, P=16,T=1 
N=2048, P=8,T=8 
N=512, P=8,T=8 
N=2048, P=8,T=16 
N=512, P=8,T=16 
N=2048, P=16,T=1 
N=2048, P=16,T=2 
N=512, P=16,T=1 
N=2048, P=16,T=4 
N=2048, P=16,T=2 
N=512, P=16,T=2 
N=2048, P=16,T=8 
N=2048, P=16,T=4 
N=2048, P=16,T=16 
N=512, P=16,T=4 
N=2048, P=16,T=8 
N=2048, P=32,T=1 
N=512, P=16,T=8 
N=2048, P=16,T=16 
N=2048, P=32,T=1 
N=512, P=16,T=16 
N=2048, P=32,T=2 
N=512, P=32,T=1 
N=2048, P=32,T=2 
N=2048, P=32,T=4 
N=512, P=32,T=2 
N=2048, P=32,T=8 
N=2048, P=32,T=4 
N=2048, P=32,T=16 
N=2048, P=32,T=8 
N=512, P=32,T=4 
N=8192, P=1,T=1 
N=2048, P=32,T=16 
N=512, P=32,T=8 
N=8192, P=1,T=1 
N=8192, P=1,T=2 
N=512, P=32,T=16 
N=2048, P=1,T=1 
N=8192, P=1,T=2 
N=8192, P=1,T=4 
N=8192, P=1,T=8 
N=2048, P=1,T=2 
N=8192, P=1,T=4 
N=8192, P=1,T=16 
N=8192, P=1,T=8 
N=8192, P=2,T=1 
N=2048, P=1,T=4 
N=8192, P=1,T=16 
N=8192, P=2,T=1 
N=2048, P=1,T=8 
N=8192, P=2,T=2 
N=2048, P=1,T=16 
N=8192, P=2,T=2 
N=2048, P=2,T=1 
N=8192, P=2,T=4 
N=8192, P=2,T=8 
N=8192, P=2,T=4 
N=2048, P=2,T=2 
N=8192, P=2,T=16 
N=8192, P=2,T=8 
N=8192, P=4,T=1 
N=2048, P=2,T=4 
N=8192, P=2,T=16 
N=8192, P=4,T=1 
N=2048, P=2,T=8 
N=8192, P=4,T=2 
N=2048, P=2,T=16 
N=8192, P=4,T=2 
N=8192, P=4,T=4 
N=2048, P=4,T=1 
N=8192, P=4,T=8 
N=8192, P=4,T=4 
N=2048, P=4,T=2 
N=8192, P=4,T=16 
N=8192, P=8,T=1 
N=8192, P=4,T=8 
N=2048, P=4,T=4 
N=8192, P=4,T=16 
N=8192, P=8,T=2 
N=8192, P=8,T=1 
N=2048, P=4,T=8 
N=2048, P=4,T=16 
N=8192, P=8,T=4 
N=8192, P=8,T=2 
N=2048, P=8,T=1 
N=8192, P=8,T=8 
N=8192, P=8,T=16 
N=8192, P=8,T=4 
N=2048, P=8,T=2 
N=8192, P=16,T=1 
N=8192, P=8,T=8 
N=2048, P=8,T=4 
N=8192, P=8,T=16 
N=8192, P=16,T=2 
N=8192, P=16,T=1 
N=2048, P=8,T=8 
N=8192, P=16,T=4 
N=2048, P=8,T=16 
N=8192, P=16,T=2 
N=8192, P=16,T=8 
N=2048, P=16,T=1 
N=8192, P=16,T=16 
N=8192, P=16,T=4 
N=8192, P=32,T=1 
N=2048, P=16,T=2 
N=8192, P=16,T=8 
N=8192, P=16,T=16 
N=8192, P=32,T=2 
N=2048, P=16,T=4 
N=8192, P=32,T=1 
N=2048, P=16,T=8 
N=8192, P=32,T=4 
N=8192, P=32,T=2 
N=2048, P=16,T=16 
N=8192, P=32,T=8 
N=2048, P=32,T=1 
N=8192, P=32,T=16 
N=8192, P=32,T=4 
N=16384, P=1,T=1 
N=8192, P=32,T=8 
N=2048, P=32,T=2 
N=8192, P=32,T=16 
N=16384, P=1,T=2 
N=16384, P=1,T=1 
N=2048, P=32,T=4 
N=16384, P=1,T=4 
N=2048, P=32,T=8 
N=16384, P=1,T=2 
N=16384, P=1,T=8 
N=2048, P=32,T=16 
N=16384, P=1,T=16 
N=8192, P=1,T=1 
N=16384, P=1,T=4 
N=16384, P=2,T=1 
N=16384, P=1,T=8 
N=8192, P=1,T=2 
N=16384, P=1,T=16 
N=16384, P=2,T=2 
N=16384, P=2,T=1 
N=8192, P=1,T=4 
N=16384, P=2,T=4 
N=8192, P=1,T=8 
N=16384, P=2,T=2 
N=16384, P=2,T=8 
N=8192, P=1,T=16 
N=16384, P=2,T=4 
N=16384, P=2,T=16 
N=8192, P=2,T=1 
N=16384, P=4,T=1 
N=16384, P=2,T=8 
N=16384, P=2,T=16 
N=8192, P=2,T=2 
N=16384, P=4,T=2 
N=16384, P=4,T=1 
N=8192, P=2,T=4 
N=16384, P=4,T=4 
N=16384, P=4,T=2 
N=8192, P=2,T=8 
N=16384, P=4,T=8 
N=16384, P=4,T=16 
N=8192, P=2,T=16 
N=16384, P=4,T=4 
N=16384, P=8,T=1 
N=8192, P=4,T=1 
N=16384, P=4,T=8 
N=16384, P=4,T=16 
N=16384, P=8,T=2 
N=16384, P=8,T=1 
N=8192, P=4,T=2 
N=16384, P=8,T=4 
N=8192, P=4,T=4 
N=16384, P=8,T=2 
N=16384, P=8,T=8 
N=16384, P=8,T=16 
N=8192, P=4,T=8 
N=16384, P=8,T=4 
N=16384, P=16,T=1 
N=8192, P=4,T=16 
N=16384, P=8,T=8 
N=8192, P=8,T=1 
N=16384, P=16,T=2 
N=16384, P=8,T=16 
N=16384, P=16,T=1 
N=16384, P=16,T=4 
N=8192, P=8,T=2 
N=16384, P=16,T=2 
N=16384, P=16,T=8 
N=16384, P=16,T=16 
N=8192, P=8,T=4 
N=16384, P=16,T=4 
N=16384, P=32,T=1 
